empty_slots,latitude,longitude,name,Site,Restaurants
14,46.8731,-96.78644,Fercho YMCA,YMCA,1
22,46.90244,-96.7978,University Village,Village,3
9,46.8758,-96.78567,MATBUS Center Downtown,Downtown,1
13,46.87581,-96.78996,Renaissance Hall,Hall,3
