,distance,name
0,134,NoBull Smokehouse
1,141,Würst Bier Hall
2,155,Pounds
3,176,Ishtar Mediterranean Cuisine
4,207,Mexican Village
5,217,Rhombus Guys
6,228,Nichole's Fine Pastry
7,248,Vinyl Taco
8,254,JL Beers
9,257,46 North Pints & Provisions
