,distance,name
0,230,Chipotle Mexican Grill
1,254,Grand Junction Grilled Subs
2,280,Papa John's Pizza
3,341,Red Pepper
4,348,Little Caesars Pizza
5,364,Domino's Pizza
6,391,Subway
7,446,Buffalo Wild Wings
8,524,Applebee's
9,1406,Jimmy John's
