,distance,name
0,172,JL Beers
1,179,Vinyl Taco
2,188,Ishtar Mediterranean Cuisine
3,199,NoBull Smokehouse
4,229,Pounds
5,242,Subway
6,245,Taco Shop
7,248,Würst Bier Hall
8,269,84 Italian Steakhouse
9,276,Rhombus Guys
